Document,Type,Value
EN-9789264014688-4306051e.pdf,/Entity/KIMTaxo/GeographicalAreas,OECD countries
EN-9789264014688-4306051e.pdf,/Entity/KIMTaxo/GeographicalAreas,East Asia
EN-9789264014688-4306051e.pdf,/Entity/KIMTaxo/Topics,regional cooperation
EN-9789264014688-4306051e.pdf,/Entity/KIMTaxo/Topics,economic policy
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/GeographicalAreas,China
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/GeographicalAreas,Latvia
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/GeographicalAreas,Brazil
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/GeographicalAreas,OECD countries
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/GeographicalAreas,Russian Federation
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/Topics,reading
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/Topics,programme evaluation
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/Topics,educational research
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/Topics,mathematics
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/Topics,college students
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/Topics,educational systems
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/Topics,knowledge
FR-9789264026414-9806032e.pdf,/Entity/KIMTaxo/Topics,science
EN-9789264108677-8104171e.pdf,/Entity/KIMTaxo/Topics,migrant workers
EN-9789264108677-8104171e.pdf,/Entity/KIMTaxo/Topics,manpower planning
EN-9789264108677-8104171e.pdf,/Entity/KIMTaxo/Topics,employment
EN-9789264108677-8104171e.pdf,/Entity/KIMTaxo/Topics,recruitment
EN-9789264108677-8104171e.pdf,/Entity/KIMTaxo/Topics,migration
EN-9789264108677-8104171e.pdf,/Entity/KIMTaxo/Topics,labour policy
EN-9789264108677-8104171e.pdf,/Entity/KIMTaxo/Topics,international agreements
EN-9789264034297-6107241e.pdf,/Entity/KIMTaxo/GeographicalAreas,IEA countries
EN-9789264034297-6107241e.pdf,/Entity/KIMTaxo/Topics,energy utilization
EN-9789264034297-6107241e.pdf,/Entity/KIMTaxo/Topics,indicators
EN-9789264034297-6107241e.pdf,/Entity/KIMTaxo/Topics,projections
EN-9789264034297-6107241e.pdf,/Entity/KIMTaxo/Topics,energy statistics
EN-9789264115651-9211081e.pdf,/Entity/KIMTaxo/Topics,business
EN-9789264115651-9211081e.pdf,/Entity/KIMTaxo/Topics,country studies
EN-9789264115651-9211081e.pdf,/Entity/KIMTaxo/Topics,innovations
EN-9789264099227-9703031e.pdf,/Entity/KIMTaxo/Topics,environmental protection
EN-9789264099227-9703031e.pdf,/Entity/KIMTaxo/Topics,biodiversity
EN-9789264099227-9703031e.pdf,/Entity/KIMTaxo/Topics,sustainable development
EN-9789264099227-9703031e.pdf,/Entity/KIMTaxo/Topics,trade opportunities
EN-9789264099227-9703031e.pdf,/Entity/KIMTaxo/Topics,access to markets
EN-9789264106055-2604011e.pdf,/Entity/KIMTaxo/GeographicalAreas,OECD countries
EN-9789264106055-2604011e.pdf,/Entity/KIMTaxo/Topics,corporate governance
EN-9789264106055-2604011e.pdf,/Entity/KIMTaxo/Topics,surveys
EN-9789264042933-4208061e.pdf,/Entity/KIMTaxo/GeographicalAreas,Brazil
EN-9789264042933-4208061e.pdf,/Entity/KIMTaxo/Topics,governance
EN-9789264042933-4208061e.pdf,/Entity/KIMTaxo/Topics,government policy
EN-9789264042933-4208061e.pdf,/Entity/KIMTaxo/Topics,regulations
EN-9789264197190-9302011e.pdf,/Entity/KIMTaxo/Topics,transnational data flow
EN-9789264197190-9302011e.pdf,/Entity/KIMTaxo/Topics,guidelines
EN-9789264197190-9302011e.pdf,/Entity/KIMTaxo/Topics,privacy protection
EN-9789264197190-9302011e.pdf,/Entity/KIMTaxo/Topics,data protection
EN-9789264179363-8112101e.pdf,/Entity/KIMTaxo/Topics,government policy
EN-9789264179363-8112101e.pdf,/Entity/KIMTaxo/Topics,women's status
EN-9789264179363-8112101e.pdf,/Entity/KIMTaxo/Topics,mothers
EN-9789264179363-8112101e.pdf,/Entity/KIMTaxo/Topics,women workers
EN-9789264179363-8112101e.pdf,/Entity/KIMTaxo/Topics,entrepreneurship
EN-9789264179363-8112101e.pdf,/Entity/KIMTaxo/Topics,gender equality
EN-9789264179363-8112101e.pdf,/Entity/KIMTaxo/Topics,employment
EN-9789264099906-2303031e.pdf,/Entity/KIMTaxo/GeographicalAreas,OECD countries
EN-9789264099906-2303031e.pdf,/Entity/KIMTaxo/Topics,taxation
EN-9789264099906-2303031e.pdf,/Entity/KIMTaxo/Topics,tax agreements
EN-9789264099906-2303031e.pdf,/Entity/KIMTaxo/Topics,conventions
EN-9789264031821-0407061e.pdf,/Entity/KIMTaxo/Topics,regional integration
EN-9789264031821-0407061e.pdf,/Entity/KIMTaxo/Topics,innovations
EN-9789264031821-0407061e.pdf,/Entity/KIMTaxo/Topics,national policy
EN-9789264018556-2204051e.pdf,/Entity/KIMTaxo/Topics,clothing industry
EN-9789264018556-2204051e.pdf,/Entity/KIMTaxo/Topics,adaptation to change
EN-9789264018556-2204051e.pdf,/Entity/KIMTaxo/Topics,industrial structure
EN-9789264018556-2204051e.pdf,/Entity/KIMTaxo/Topics,textile industry
EN-9789264018556-2204051e.pdf,/Entity/KIMTaxo/Topics,technological change
FR-9789282113202-7504062e.pdf,/Entity/KIMTaxo/GeographicalAreas,Europe
FR-9789282113202-7504062e.pdf,/Entity/KIMTaxo/Topics,conference reports
FR-9789282113202-7504062e.pdf,/Entity/KIMTaxo/Topics,freight
FR-9789282113202-7504062e.pdf,/Entity/KIMTaxo/Topics,railway transport
FR-9789282113202-7504062e.pdf,/Entity/KIMTaxo/Topics,transport economics
EN-9789264111233-5111051e.pdf,/Entity/KIMTaxo/Topics,agriculture
EN-9789264111233-5111051e.pdf,/Entity/KIMTaxo/Topics,sustainable growth
EN-9789264111233-5111051e.pdf,/Entity/KIMTaxo/Topics,fishery
EN-9789264111233-5111051e.pdf,/Entity/KIMTaxo/Topics,agricultural policy
EN-9789264028838-4107111e.pdf,/Entity/KIMTaxo/GeographicalAreas,Developing countries
EN-9789264028838-4107111e.pdf,/Entity/KIMTaxo/Topics,public sector
EN-9789264028838-4107111e.pdf,/Entity/KIMTaxo/Topics,private sector
